temperature,humidity,weight
C,%,kg
32,42,73
34,35,88
34,39,65
26,59,91
24,56,77
19,70,69
18,75,82
31,44,55
32,43,97
36,33,61
33,40,84
30,52,76
29,55,68
29,53,93
25,68,74
25,67,89
27,50,66
22,65,95
23,68,72
31,48,83
31,47,64
30,50,90
28,63,71
26,54,87
28,56,78
26,74,92
27,46,63
27,42,85
36,36,79
29,44,67
31,47,94
23,56,70
23,68,88
22,71,76
26,56,81
23,61,69
30,48,96
29,49,73
31,40,58
31,38,91
23,55,75
32,43,86
35,37,62
22,84,98
18,72,66
33,46,89
35,36,74
34,39,83
37,33,77
26,64,95
30,47,68
31,44,82
27,48,71
32,48,90
35,36,63
33,44,87
27,59,72
27,60,94
34,49,66
29,54,85
27,59,79
23,53,91
23,57,70
32,44,88
33,38,76
34,37,92
33,33,61
32,54,83
27,64,74
27,55,97
31,45,69
33,42,86
29,52,75
26,59,93
24,68,80
26,62,71
29,66,89
29,51,64
29,49,95
20,72,67
21,76,88
25,60,73
21,64,91
33,43,82
33,42,77
37,37,94
34,40,68
31,54,85
27,60,79
26,64,90
23,60,72
32,40,88
33,38,66
33,36,93
25,68,74
26,53,81
30,46,97
32,40,69
30,50,84
24,54,75
